Original,Adjusted
20.3399,14.386
0,-2.62061
19.489,10.258
0,6.96936
30.9509,18.577
33.0002,26.8457
38.425,22.1485
0,17.7304
0,20.1367
0,14.0272
1.2945,-3.65323
0,14.3958
16.6101,10.5551
14.1263,8.84891
0,14.6198
0,12.7882
14.6228,6.15202
10.4165,11.1614
0.974407,-2.69418
6.47591,3.85259
0,9.46667
27.9874,19.2648
0,6.71541
13.2389,7.5336
28.92,17.5288
8.65412,1.24117
0,12.1974
0,11.3986
4.063,3.76377
0.57371,-1.2946
12.9102,12.8984
19.5768,16.5881
14.4659,5.06308
53.7077,26.9583
0,7.5104
27.0578,16.6437
0.705386,3.97709
0,10.3004
0.498858,-7.31463
0,4.52832
18.1724,7.87939
0,16.777
0,26.1052
0,0.389158
0,19.8869
0,25.1093
0,8.56653
14.3894,19.0798
0,14.0054
0,-7.17867
0,15.7905
47.3147,38.3824
33.0908,27.4935
18.6321,3.0222
0,20.8855
0,10.8492
37.8655,11.9845
7.94453,-7.30515
10.5475,11.2733
0,5.72435
14.3156,10.8216
20.5158,9.72757
0,18.5573
0.688297,-9.81803
69.0041,47.3251
3.02724,3.46519
0,4.4292
0,8.43428
29.6978,19.9123
0,0.495427
7.03839,-2.26474
0,3.8993
16.7215,2.05668
3.11101,3.14649
5.22905,6.43593
0,-5.48542
5.02138,8.32958
7.55581,13.8722
1.16335,-1.26025
36.0238,35.3011
0,3.68351
59.8929,24.0082
0,-6.19717
0,10.4365
37.4428,37.5004
0.433601,3.50467
20.8936,18.7169
0,23.1143
0,6.62369
0,10.1171
22.8899,16.7263
0,9.05539
8.84519,7.97932
52.6225,36.9039
5.57802,-2.14516
0,19.2742
0.673326,5.87305
23.4243,9.33512
0,10.4383
0,6.34964
13.0468,6.63767
39.4628,19.466
26.1492,19.6751
0.867673,-0.00898529
0,-2.39286
0,5.3103
3.83708,-1.48817
0,-1.16636
0,8.04957
0,7.37028
9.85743,12.6769
0,10.6532
67.3229,36.706
47.2069,14.8776
0,12.1349
0,6.86524
20.5673,18.2859
19.6256,14.2022
0,7.2732
0,-1.80339
0,3.8168
0,16.7871
32.1153,19.8487
0,3.03985
65.3791,46.3179
0,4.40729
0.578979,-2.6104
4.94846,2.22432
0,18.6545
0,16.0666
0,5.58378
0,-3.509
0,11.0293
7.63138,2.3102
2.46923,-5.03231
33.4691,21.2901
42.4971,22.6205
32.5173,19.1206
9.3864,5.08226
0,12.6336
0,23.1891
8.30155,15.7535
2.16216,5.42802
17.6999,19.7547
0,-1.87992
0,9.65184
22.4339,27.1655
0,15.1285
0,7.37172
31.4944,17.1366
14.8521,5.84246
0,20.3182
33.4801,14.5698
0,16.6043
0,10.9934
0.460761,3.75558
8.73239,4.16902
0,11.2172
0,1.81111
23.3535,18.5221
0,9.78882
0,1.03767
26.9241,28.4299
27.6602,21.3798
15.6858,14.2245
28.2118,20.0442
12.1134,-0.602517
1.27534,1.02126
0,8.10196
3.40656,10.778
25.7853,8.33796
0,11.5616
0,-8.32041
7.4186,10.338
0,7.75142
6.05219,15.8366
15.3578,9.47733
0,12.4211
10.0732,1.36108
5.63203,2.50052
14.5181,12.4658
0,9.90791
0,-0.756452
24.6829,11.8076
22.8803,17.2787
25.3511,19.6964
14.8423,6.2603
14.8499,21.1715
9.17035,8.34546
0,11.1287
43.5986,29.1434
0.872002,3.46527
0,10.0461
48.3588,28.8303
28.5364,7.12466
0,9.98259
12.9227,13.8632
0,7.11812
7.40495,10.1161
0,-1.98886
0,1.3856
13.4636,14.2835
0,4.40647
0,-4.21374
0.218585,-1.73264
40.5264,22.8107
5.22668,1.92354
45.9145,25.6412
58.2537,37.7187
0,6.63621
0,14.5904
41.9019,18.101
0,7.92297
13.3178,0.51451
17.2817,11.2411
0,2.99673
27.2953,16.2485
0.935173,-1.70255
0,-3.58795
0,14.4526
0,9.58635
5.07034,0.779003
1.0888,8.20954
22.7739,16.6228
0,10.8662
9.48842,1.95195
0,11.4925
27.2451,19.7912
0,2.34925
4.61883,1.69046
0,2.97159
3.1164,-2.887
7.08125,5.75378
8.67927,3.96911
16.3502,6.80356
0,14.9886
51.3885,37.1746
17.6386,5.25523
20.7727,16.3586
0,8.14189
0,8.80474
0,14.3218
0,3.69795
0,17.5902
0,19.8043
0,11.0291
27.6141,7.33652
0,3.80747
28.8529,20.0593
4.6106,1.3561
0,14.2314
0,15.162
9.25819,15.1179
8.81388,12.2267
13.1281,11.8484
0,0.951335
0,10.937
16.3936,17.4683
0.408118,-2.92456
12.4447,0.816625
0,12.2556
0,5.88309
0,2.70394
4.58385,13.5294
6.67911,9.28196
0,6.50478
0,8.60892
0,-0.324313
38.6517,29.3914
26.3981,1.11294
0,0.196386
6.84959,12.1222
16.7903,2.20284
0,7.54979
67.782,33.4208
3.46684,7.34017
8.92494,14.5516
0,11.3498
0,23.0299
0,8.95237
9.06092,-3.20441
12.2287,-5.14512
16.0144,8.27841
7.47269,3.911
24.8179,12.3176
0,2.15833
15.0395,12.2225
0,6.67328
14.1492,9.26236
0,11.7019
26.5966,10.0013
20.9628,5.56577
57.3457,37.8539
0,5.09069
4.30281,-4.73654
33.3591,22.6333
16.3215,7.40176
0,9.63408
13.0813,17.7435
35.3618,24.577
22.7862,5.02052
3.30862,11.4318
35.9108,27.5855
0,5.88475
0,5.85247
20.2946,17.9794
19.386,11.9037
7.83116,1.06091
12.6191,11.3638
